product	condition	untcd	descript	untdes	qkg_uca
741	20	1	Plantains(Matooke)	Kilogram (kg)	1
741	20	10	Plantains(Matooke)	Sack (100 kgs)	100
741	20	11	Plantains(Matooke)	Sack (80 kgs)	80
741	20	12	Plantains(Matooke)	Sack (50 kgs)	50
741	20	22	Plantains(Matooke)	Plastic Basin (15 lts)	10.95
741	20	64	Plantains(Matooke)	Heap(unspecified)	1.847525
741	20	67	Plantains(Matooke)	Bunch- Big	29.50287
741	20	68	Plantains(Matooke)	Bunch- medium	20.36843
741	20	69	Plantains(Matooke)	Bunch- small	11.3779
741	20	70	Plantains(Matooke)	Cluster (unspecified)	2.426653
741	20	87	Plantains(Matooke)	Piece-Big	0.23
741	20	88	Plantains(Matooke)	Piece-Medium	0.15
741	20	89	Plantains(Matooke)	Piece-Small	0.1
741	20	103	Plantains(Matooke)	Plastinbasin(5ltrs)	3.275
620	20	1	Sweet potatoes (fresh)	Kilogram (kg)	1
620	20	10	Sweet potatoes (fresh)	Sack (100 kgs)	113.25
620	20	11	Sweet potatoes (fresh)	Sack (80 kgs)	91
620	20	12	Sweet potatoes (fresh)	Sack (50 kgs)	56
620	20	13	Sweet potatoes (fresh)	Sack (unspecified)	56
620	20	14	Sweet potatoes (fresh)	Jerrican (20 lts)	24.15
620	20	15	Sweet potatoes (fresh)	Jerrican (10 lts)	12.075
620	20	16	Sweet potatoes (fresh)	Jerrican (5 lts)	6.04
620	20	20	Sweet potatoes (fresh)	Tin (Debe) - 20 lts	24.15
620	20	21	Sweet potatoes (fresh)	 Tin (5 lts)	6.0375
620	20	22	Sweet potatoes (fresh)	Plastic Basin (15 lts)	11.4
620	20	29	Sweet potatoes (fresh)	Kimbo/Cowboy/Blueband Tin (2kg)	2
620	20	37	Sweet potatoes (fresh)	Basket (20 kg)	26.4
620	20	38	Sweet potatoes (fresh)	Basket (10 kg)	14.35
620	20	39	Sweet potatoes (fresh)	Basket (5 kg)	6.15
620	20	40	Sweet potatoes (fresh)	Basket (2 kg)	2.87
620	20	64	Sweet potatoes (fresh)	Heap(unspecified)	3
620	20	85	Sweet potatoes (fresh)	Number of Units (General)	0.5
620	20	87	Sweet potatoes (fresh)	Piece-Big	4.1
620	20	88	Sweet potatoes (fresh)	Piece-Medium	2.07027
620	20	89	Sweet potatoes (fresh)	Piece-Small	1.345833
620	20	90	Sweet potatoes (fresh)	Heap - Big	3.332763
620	20	91	Sweet potatoes (fresh)	Heap - medium	2.114651
620	20	92	Sweet potatoes (fresh)	Heap - small	1.765625
620	20	103	Sweet potatoes (fresh)	Plastinbasin(5ltrs)	3.8
620	20	119	Sweet potatoes (fresh)	Nomi Tin(1kg)	3.27
620	20	120	Sweet potatoes (fresh)	Nomi Tin(500g)	1.7
620	20	133	Sweet potatoes (fresh)	Sadolin Tin- 3ltrs	2.645
630	20	1	Cassava (fresh)	Kilogram (kg)	1
630	20	10	Cassava (fresh)	Sack (100 kgs)	100
630	20	11	Cassava (fresh)	Sack (80 kgs)	80
630	20	12	Cassava (fresh)	Sack (50 kgs)	102
630	20	13	Cassava (fresh)	Sack (unspecified)	102
630	20	14	Cassava (fresh)	Jerrican (20 lts)	18
630	20	15	Cassava (fresh)	Jerrican (10 lts)	9
630	20	16	Cassava (fresh)	Jerrican (5 lts)	4.5
630	20	20	Cassava (fresh)	Tin (Debe) - 20 lts	18
